minutes,T1_C,T2_C,T3_C,T4_C,T5_C,mean_C,delta_T_K,total_sensible_J
73.75,-27.661882669295665,-27.61379119833086,-27.59557352231542,-27.607457715321942,-27.649294996767026,-27.625600020406182,0.06630914698024526,-7589.657773269262
74.0,-27.686837495725968,-27.63925930709229,-27.621236069114815,-27.63299342162179,-27.674384171971127,-27.650942093105197,0.06560142661115265,-7596.447268636006
74.25,-27.711525978224813,-27.664455593637967,-27.646624718452927,-27.658256584234266,-27.699205569333287,-27.676013688776653,0.06490125977188654,-7603.164299427843
74.5,-27.735950959492556,-27.689382959137987,-27.671742393648998,-27.683250112029896,-27.723762046857985,-27.700817694233486,0.06420856584355761,-7609.809639062284
74.75,-27.760115251889005,-27.71404427379835,-27.69659198682166,-27.707976882832554,-27.748056432045928,-27.7253569654775,0.06352326506734585,-7616.384052702131
75.0,-27.784021637757633,-27.738442377190864,-27.721176359221914,-27.732439743751115,-27.772091522219853,-27.749634328028275,0.06284527853571831,-7622.888297343559
75.25,-27.80767286974597,-27.76258007858081,-27.74549834156238,-27.756641511507183,-27.795870084846683,-27.773652577248605,0.06217452818358993,-7629.323121903294
75.5,-27.831071671122203,-27.78646015724982,-27.76956073434343,-27.780584972759016,-27.81939485785577,-27.79741447866605,0.06151093677877384,-7635.6892673048405
75.75,-27.854220736089047,-27.810085362816324,-27.793366308175422,-27.8042728844232,-27.842668549954624,-27.820922768291723,0.060854427913625386,-7641.987466563797
76.0,-27.877122730094044,-27.83345841555169,-27.81691780409824,-27.827707973991323,-27.865693840940565,-27.844180152935174,0.06020492599580507,-7648.218444872253
76.25,-27.899780290135936,-27.856582006694055,-27.840217933896042,-27.850892939844556,-27.88847338200938,-27.867189310515993,0.05956235623989414,-7654.382919682294
76.5,-27.922196025068956,-27.87945879875761,-27.86326938041043,-27.87383045156392,-27.911009796060398,-27.889952890372264,0.05892664465852704,-7660.481600788609
76.75,-27.9443725159029,-27.9020914258395,-27.886074797848607,-27.896523150238068,-27.933305677998703,-27.912473513565555,0.05829771805429118,-7666.515190410212
77.0,-27.966312316100215,-27.924482493923108,-27.908636812089554,-27.918973648767064,-27.95536359503396,-27.93475377318278,0.05767550401066046,-7672.484383271313
77.25,-27.988017951870262,-27.946634581177733,-27.930958020986026,-27.941184532163533,-27.97718608697562,-27.956796234634634,0.05705993088423611,-7678.389866681292
77.5,-28.00949192246003,-27.968550238256256,-27.953040994663695,-27.96315835784992,-27.99877566652583,-27.978603435951147,0.05645092779633387,-7684.232320613854
77.75,-28.030736700441793,-27.99023198858802,-27.97488827581728,-27.984897655953404,-28.020134819568653,-28.00017788807383,0.05584842462451434,-7690.012417785303
78.0,-28.051754731998074,-28.01168232866962,-27.996502380003164,-28.006404929596954,-28.041266005455896,-28.02152207514474,0.05525235199490908,-7695.730823732032
78.25,-28.07254843720324,-28.03290372835272,-28.01788579592923,-28.027682655187505,-28.06217165729086,-28.042638454792712,0.054662641274006774,-7701.388196887121
78.5,-28.09312021030206,-28.053898631127936,-28.039040985741025,-28.04873328270122,-28.082854182208195,-28.063529458416088,0.0540792245610362,-7706.985188656169
78.75,-28.113472419985357,-28.074669454406433,-28.059970385305718,-28.069559235965812,-28.103315961650992,-28.084197491462863,0.053502034679638655,-7712.522443492295
