T_C,j_A_cm2,error_V,valid
0.5,0.0375,0.00010474129124637965,True
0.5,0.042499999999999996,8.1399826683759e-05,True
0.5,0.0475,6.503516508959972e-05,True
0.5,0.0525,5.311564929522117e-05,True
0.5,0.057499999999999996,4.416214546199004e-05,True
0.5,0.0625,3.7263367919204704e-05,True
0.5,0.0675,3.183298176812066e-05,True
0.5,0.07250000000000001,2.747983516737662e-05,True
0.5,0.07750000000000001,2.3934869141872817e-05,True
0.5,0.0825,2.100807915106362e-05,True
0.5,0.08750000000000001,1.8562192247384424e-05,True
0.5,0.0925,1.6496031052692928e-05,True
0.5,0.0975,1.4733694421176224e-05,True
0.5,0.10250000000000001,1.3217341251925419e-05,True
0.5,0.10750000000000001,1.1902268473140687e-05,True
0.5,0.1125,1.0753485909953397e-05,True
0.5,0.11750000000000001,9.743289469010818e-06,True
0.5,0.1225,8.84951341029172e-06,True
0.5,0.1275,8.054252888300972e-06,True
0.5,0.1325,7.342917516028891e-06,True
0.5,0.1375,6.703521418294223e-06,True
0.5,0.14250000000000002,6.126144578622039e-06,True
0.5,0.14750000000000002,5.602519813630025e-06,True
0.5,0.1525,5.1257129793924605e-06,True
0.5,0.1575,4.689873105534481e-06,True
0.5,0.1625,4.2900355108344e-06,True
0.5,0.1675,3.921965444408926e-06,True
0.5,0.17250000000000001,3.58203298644888e-06,True
0.5,0.17750000000000002,3.2671122685012932e-06,True
0.5,0.1825,2.974499753394255e-06,True
0.5,0.1875,2.7018475667883735e-06,True
0.5,0.1925,2.4471087912703027e-06,True
0.5,0.1975,2.2084923310128346e-06,True
0.5,0.2025,1.9844254822709573e-06,True
0.5,0.20750000000000002,1.7735227391124653e-06,True
0.5,0.21250000000000002,1.5745596786409521e-06,True
0.5,0.2175,1.3864509972316696e-06,True
0.5,0.2225,1.2082319652551021e-06,True
0.5,0.2275,1.0390427015449788e-06,True
0.5,0.2325,8.78114790436868e-07,True
0.5,0.23750000000000002,7.247598511339604e-07,True
0.5,0.2425,5.78359737324341e-07,True
0.5,0.2475,4.3835811192050045e-07,True
0.5,0.2525,3.042531736552334e-07,True
0.5,0.2575,1.7559136789024876e-07,True
0.5,0.2625,5.1961923541732347e-08,True
0.5,0.2675,6.700789900726534e-08,True
0.5,0.2725,1.8165695747640598e-07,True
0.5,0.2775,2.9229385678508635e-07,True
0.5,0.28250000000000003,3.992001329500283e-07,True
0.5,0.28750000000000003,5.0263305417797e-07,True
0.5,0.2925,6.028280877812264e-07,True
0.5,0.2975,7.000010797675316e-07,True
0.5,0.3025,7.943501852958335e-07,True
0.5,0.3075,8.860575808622428e-07,True
0.5,0.3125,9.7529098497251e-07,True
0.5,0.3175,1.06220501383536e-06,True
0.5,0.3225,1.1469423913945676e-06,True
0.5,0.3275,1.229635029020848e-06,True
0.5,0.3325,1.3104049952916696e-06,True
0.5,0.3375,1.3893653832974806e-06,True
0.5,0.3425,1.4666210912395172e-06,True
0.5,0.34750000000000003,1.5422695254230234e-06,True
0.5,0.35250000000000004,1.6164012327513078e-06,True
0.5,0.35750000000000004,1.6891004723795788e-06,True
0.5,0.3625,1.7604457323017186e-06,True
0.5,0.3675,1.8305101985305328e-06,True
0.5,0.3725,1.8993621765384106e-06,True
0.5,0.3775,1.9670654800574283e-06,True
0.5,0.3825,2.033679778135067e-06,True
0.5,0.3875,2.0992609149894648e-06,True
0.5,0.3925,2.1638612011098957e-06,True
0.5,0.3975,2.2275296773788256e-06,True
0.5,0.4025,2.290312357766666e-06,True
0.5,0.40750000000000003,2.3522524505992237e-06,True
0.5,0.41250000000000003,2.413390560951356e-06,True
0.5,0.41750000000000004,2.4737648774975085e-06,True
0.5,0.4225,2.5334113428199245e-06,True
0.5,0.4275,2.5923638091729373e-06,True
0.5,0.4325,2.6506541839221853e-06,True
0.5,0.4375,2.7083125612170633e-06,True
0.5,0.4425,2.7653673447813887e-06,True
